id;title;NF_inlink_ratio;NF_outlink_ratio;MW_generality
37753;isis;0.000156;0.000051;0.75
5042765;god;0.001441;0.000064;0.75
19376355;ganesha;0.000235;0.000046;0.6875
39438;deity;0.000332;0.00003;0.625
1182;athena;0.000274;0.000067;0.6875
594;apollo;0.000448;0.000137;0.6875
65755;yeti;0.000083;0.000047;0.75
32362;vampire;0.000521;0.000115;0.6875
1577663;spring-heeled jack;0.000017;0.000029;0.6875
310584;slavic mythology;0.000107;0.000067;0.625
28957716;roman mythology;0.000231;0.000037;0.625
23417070;norse mythology;0.000408;0.000057;0.625
83781;noah's ark;0.000112;0.000049;0.6875
58559;maya mythology;0.000033;0.000007;0.5625
40255;jupiter mythology;0.000177;0.00003;0.625
1661285;islamic mythology;0.00001;0.000016;0.6875
99552;hindu mythology;0.000133;0.000037;0.625
23416994;greek mythology;0.001129;0.000114;0.6875
419835;english folklore;0.000031;0.000049;0.625
601839;flood myth;0.000099;0.000013;0.6875
481745;davy jones' locker;0.000007;0.000011;0.75
7482;christian mythology;0.000029;0.00002;0.5625
28958223;celtic mythology;0.000094;0.000031;0.5625
31792;utilitarianism;0.000162;0.000031;0.6875
19224834;stoicism;0.000192;0.00005;0.6875
28840;sharia;0.000594;0.0001;0.75
23040;political philosophy;0.000216;0.000101;0.75
6880483;philosophy of mind;0.000119;0.000066;0.6875
13692155;philosophy;0.003097;0.000139;0.8125
29174999;mysticism;0.000435;0.000101;0.6875
19378;mind;0.000198;0.000084;0.6875
3729225;logic;0.000501;0.000076;0.8125
1058693;lawrence kohlberg's stages of moral development;0.000012;0.000016;0.75
5135982;humanism;0.000418;0.000069;0.8125
11059;five pillars of islam;0.000031;0.000015;0.75
9593;existentialism;0.000283;0.000082;0.8125
10174;empiricism;0.000167;0.000058;0.6875
350945;eliminative materialism;0.000015;0.00003;0.6875
175456;dualism philosophy of mind;0.000048;0.00004;0.8125
5312;consolation of philosophy;0.000023;0.00002;0.625
5820;confucianism;0.000402;0.000024;0.6875
15247542;atheism;0.000808;0.000092;0.75
12;anarchism;0.000767;0.00013;0.75
2263732;analytical marxism;0.000008;0.00002;0.75
894;agnosticism;0.000407;0.000023;0.75
30758;age of enlightenment;0.000582;0.000065;0.75
45943;swastika;0.000221;0.000101;0.75
998777;shroud of turin;0.000052;0.000056;0.625
461026;ordination of women;0.000081;0.000094;0.6875
244588;heliocentrism;0.000077;0.000057;0.6875
11593;flat earth;0.000031;0.000079;0.75
539700;elizabethan religious settlement;0.00002;0.000018;0.5625
5326;creationism;0.000182;0.000123;0.75
2257;apostolic succession;0.000108;0.000076;0.625
34484;zionism;0.000594;0.000091;0.75
34382;yom kippur;0.000175;0.000041;0.625
1321609;vaisakhi;0.000038;0.000019;0.6875
88801;the salvation army;0.000414;0.000066;0.6875
30365;taoism;0.000485;0.000055;0.625
27964;sikhism;0.000246;0.000066;0.625
28272;shinto;0.000284;0.000058;0.6875
269882;scottish episcopal church;0.000097;0.00004;0.6875
606848;catholic church;0.009645;0.000081;0.625
4812151;religious society of friends;0.001035;0.000069;0.6875
25414;religion;0.001321;0.000105;0.75
23056;pope;0.001454;0.000116;0.6875
62984;nun;0.000419;0.000056;0.75
18925;mormons;0.000408;0.000037;0.6875
419369;monk;0.000615;0.000069;0.75
45856;monastery;0.00096;0.00008;0.6875
20119;methodism;0.001364;0.000082;0.6875
21021;mecca;0.000599;0.000058;0.625
955862;list of archbishops of canterbury;0.000016;0.000008;0.625
16905;kabbalah;0.000412;0.000121;0.625
14810;islamic calendar;0.000153;0.000036;0.625
956960;history of buddhism;0.000012;0.000121;0.625
7388;hanukkah;0.000108;0.000055;0.625
23487999;hajj;0.00027;0.000023;0.5625
515258;greco-buddhism;0.000029;0.000097;0.625
185081;ghost dance;0.000035;0.000024;0.6875
10067;episcopal polity;0.000206;0.000042;0.625
358226;eid al-adha;0.000087;0.000029;0.625
10186;eastern orthodox church;0.001618;0.000167;0.625
168130;church of ireland;0.000337;0.00004;0.625
